time_ms,emg_value
1762983997335,485.0
1762983997336,377.0
1762983997337,478.0
1762983997338,498.0
1762983997339,658.0
1762983997340,678.0
1762983997341,830.0
1762983997342,1275.0
1762983997343,1295.0
1762983997344,1673.0
1762983997345,1850.0
1762983997346,1598.0
1762983997347,1645.0
1762983997348,1600.0
1762983997349,1382.0
1762983997350,1687.0
1762983997351,2368.0
1762983997352,2499.0
1762983997353,2462.0
1762983997354,2214.0
1762983997355,2101.0
1762983997356,1838.0
1762983997357,1957.0
1762983997358,1521.0
1762983997359,1687.0
1762983997360,1776.0
1762983997361,1586.0
1762983997362,1632.0
1762983997363,1817.0
1762983997364,1364.0
1762983997365,1319.0
1762983997366,1264.0
1762983997367,1309.0
1762983997368,1447.0
1762983997369,1585.0
1762983997370,3030.0
1762983997371,2401.0
1762983997372,2185.0
1762983997373,2033.0
1762983997374,1838.0
1762983997375,1872.0
1762983997376,2471.0
1762983997377,3107.0
1762983997378,2559.0
1762983997379,2215.0
1762983997380,2032.0
1762983997381,2640.0
1762983997382,2391.0
1762983997383,2193.0
1762983997384,1521.0
1762983997385,2160.0
1762983997386,2192.0
1762983997387,2008.0
1762983997388,3225.0
1762983997389,2006.0
1762983997390,1978.0
1762983997391,1680.0
1762983997392,1933.0
1762983997393,2121.0
1762983997394,2306.0
1762983997395,2547.0
1762983997396,2213.0
1762983997397,2038.0
1762983997398,1680.0
1762983997399,2231.0
1762983997400,1970.0
1762983997401,2130.0
1762983997402,2107.0
1762983997403,1902.0
1762983997404,1854.0
1762983997405,1739.0
1762983997406,1748.0
1762983997407,2036.0
1762983997408,2138.0
1762983997409,3353.0
1762983997410,2953.0
1762983997411,2832.0
1762983997412,4043.0
1762983997413,4095.0
1762983997414,4095.0
1762983997415,4095.0
1762983997416,4095.0
1762983997417,4095.0
1762983997418,4095.0
1762983997419,4095.0
1762983997420,4095.0
1762983997421,4095.0
1762983997422,2807.0
1762983997423,2395.0
1762983997424,2289.0
1762983997425,2333.0
1762983997426,1856.0
1762983997427,1809.0
1762983997428,2033.0
1762983997429,1999.0
1762983997430,1855.0
1762983997431,1647.0
1762983997432,1650.0
1762983997433,1801.0
1762983997434,2037.0
1762983997435,1895.0
1762983997436,1525.0
1762983997437,1519.0
1762983997438,1574.0
1762983997439,1751.0
1762983997440,1650.0
1762983997441,1860.0
1762983997442,1809.0
1762983997443,1882.0
1762983997444,1702.0
1762983997445,1808.0
1762983997446,1938.0
1762983997447,1638.0
1762983997448,1328.0
1762983997449,1354.0
1762983997450,1984.0
1762983997451,1855.0
1762983997452,1933.0
1762983997453,2094.0
1762983997454,2069.0
1762983997455,1999.0
1762983997456,1947.0
1762983997457,1840.0
1762983997458,1735.0
1762983997459,1675.0
1762983997460,1513.0
1762983997461,1463.0
1762983997462,1458.0
1762983997463,1827.0
1762983997464,1745.0
1762983997465,1692.0
1762983997466,1782.0
1762983997467,1377.0
1762983997468,1279.0
1762983997469,1277.0
1762983997470,1424.0
1762983997471,1072.0
1762983997472,987.0
1762983997473,927.0
1762983997474,892.0
1762983997475,859.0
1762983997476,823.0
1762983997477,759.0
1762983997478,1300.0
1762983997479,1334.0
1762983997480,1106.0
1762983997481,1373.0
1762983997482,1582.0
1762983997483,1455.0
1762983997484,1751.0
1762983997485,2005.0
1762983997486,1606.0
1762983997487,2163.0
1762983997488,2057.0
1762983997489,1808.0
1762983997490,1687.0
1762983997491,2003.0
1762983997492,1926.0
1762983997493,2401.0
1762983997494,2321.0
1762983997495,2106.0
1762983997496,1955.0
1762983997497,2074.0
1762983997498,1963.0
1762983997499,1984.0
1762983997500,1872.0
1762983997501,1858.0
1762983997502,1838.0
1762983997503,3002.0
1762983997504,2496.0
1762983997505,2703.0
1762983997506,2795.0
1762983997507,2305.0
1762983997508,1976.0
1762983997509,2067.0
1762983997510,2318.0
1762983997511,2526.0
1762983997512,2288.0
1762983997513,2015.0
1762983997514,2707.0
1762983997515,2454.0
1762983997516,2461.0
1762983997517,2245.0
1762983997518,2119.0
1762983997519,2031.0
1762983997520,2446.0
1762983997521,2720.0
1762983997522,2768.0
1762983997523,2830.0
1762983997524,3219.0
1762983997525,3210.0
1762983997526,2810.0
1762983997527,2935.0
1762983997528,2512.0
1762983997529,2896.0
1762983997530,2615.0
1762983997531,1969.0
1762983997532,1750.0
1762983997533,1710.0
1762983997534,1791.0
1762983997535,1422.0
1762983997536,450.0
1762983997537,274.0
1762983997538,83.0
1762983997539,63.0
1762983997540,22.0
1762983997541,11.0
1762983997542,7.0
1762983997543,3.0
1762983997544,5.0
1762983997545,7.0
1762983997546,45.0
1762983997547,202.0
1762983997548,198.0
1762983997549,192.0
1762983997550,222.0
1762983997551,364.0
1762983997552,464.0
1762983997553,511.0
1762983997554,620.0
1762983997555,803.0
1762983997556,1008.0
1762983997557,1133.0
1762983997558,1082.0
1762983997559,1797.0
1762983997560,2081.0
1762983997561,2263.0
1762983997562,1975.0
1762983997563,1924.0
1762983997564,2070.0
1762983997565,1916.0
1762983997566,2285.0
1762983997567,1887.0
1762983997568,1750.0
1762983997569,1863.0
1762983997570,1806.0
1762983997571,1616.0
1762983997572,1679.0
1762983997573,1917.0
1762983997574,1956.0
1762983997575,2486.0
1762983997576,2380.0
1762983997577,3354.0
1762983997578,4095.0
1762983997579,4095.0
1762983997580,4095.0
1762983997581,4095.0
1762983997582,4095.0
1762983997583,3623.0
1762983997584,2670.0
1762983997585,1927.0
1762983997586,1958.0
1762983997587,2749.0
1762983997588,3331.0
1762983997589,4095.0
1762983997590,3664.0
1762983997591,2896.0
1762983997592,2611.0
1762983997593,2514.0
1762983997594,2674.0
1762983997595,2182.0
1762983997596,2681.0
1762983997597,3322.0
1762983997598,2925.0
1762983997599,2801.0
1762983997600,2688.0
1762983997601,2260.0
1762983997602,2791.0
1762983997603,2512.0
1762983997604,2357.0
1762983997605,1574.0
1762983997606,1667.0
1762983997607,2187.0
1762983997608,2003.0
1762983997609,1887.0
1762983997610,1691.0
1762983997611,1563.0
1762983997612,1333.0
1762983997613,1267.0
1762983997614,1131.0
1762983997615,971.0
1762983997616,894.0
1762983997617,864.0
1762983997618,787.0
1762983997619,976.0
